article_id,title,cluster_description,cluster_id
180799,Gradient Coding via the Stochastic Block Model,Coded Distributed Computing for Stragglers,290
285886,Multi-target prediction for dummies using two-branch neural networks,Multitask Deep Learning Models,246
104703,"FINN: A Framework for Fast, Scalable Binarized Neural Network Inference",FPGA Hardware Accelerators for DNNs,119
156592,"PlinyCompute: A Platform for High-Performance, Distributed, Data-Intensive Tool Development",High Performance Computing Workloads and Scheduling,273
293262,An Automated Machine Learning Approach for Detecting Anomalous Peak Patterns in Time Series Data from a Research Watershed in the Northeastern United States Critical Zone,Automated Machine Learning Pipelines and Systems,402
75358,Busy Beaver Scores and Alphabet Size,Theory of Automata and Formal Languages,53
218024,ASR Performance Prediction on Unseen Broadcast Programs using Convolutional Neural Networks,Automatic Speech Recognition Systems,14
55293,3D-Aware Vision-Language Models Fine-Tuning with Geometric Distillation,Multimodal Vision-Language Understanding,12
242879,Data-Driven Distributed Intersection Management for Connected and Automated Vehicles,Connected Vehicle Platooning in Mixed Traffic,149
287289,Why the Firefly Algorithm Works?,Optimization Algorithms for Machine Learning,13
79028,Z-GMOT: Zero-shot Generic Multiple Object Tracking,Multiobject Tracking and Data Association,233
247769,Configuring Random Graph Models with Fixed Degree Sequences,Scalefree Networks and Preferential Attachment,325
98325,"Cloud-Based Big Data Management and Analytics for Scholarly Resources: Current Trends, Challenges and Scope for Future Research",Bibliometric Journal Science,25
32628,Intelligent Virtual Assistant knows Your Life,Web Privacy and Fingerprinting Techniques,199
96503,Uncertainty-Aware Credit Card Fraud Detection Using Deep Learning,Financial Crime and Fraud Detection,251
104705,Does Multimodality Help Human and Machine for Translation and Image Captioning?,Neural Machine Translation Quality Assessment,22
130937,Learning a collaborative multiscale dictionary based on robust empirical mode decomposition,Sparse Dictionary Learning and Representation,308
278107,Fast Algorithms for the Shortest Unique Palindromic Substring Problem on Run-Length Encoded Strings,Suffix Structures and String Matching,100
44140,Temporal Logic Task Planning and Intermittent Connectivity Control of Mobile Robot Networks,Temporal Logic Specifications and Semantics,381
201225,Two Heads are Actually Better than One: Towards Better Adversarial Robustness via Transduction and Rejection,Adversarial Machine Learning Robustness,6
50005,Controlling Transaction Rate in Tangle Ledger: A Principal Agent Problem Approach,Blockchain and Smart Contract Transactions,3
9966,Backdoor Attacks Against Deep Learning Systems in the Physical World,Data Poisoning Backdoor Attacks,114
270228,Learning Distributionally Robust Models at Scale via Composite Optimization,Distributionally Robust Optimization and Learning,469
256036,Spatial machine-learning model diagnostics: a model-agnostic distance-based approach,Explainable Artificial Intelligence (XAI),18
18692,Finding the Optimum Design of Large Gas Engines Prechambers Using CFD and Bayesian Optimization,Multiobjective Bayesian Evolutionary Optimization,10
134331,Active Learning Enhances Classification of Histopathology Whole Slide Images with Attention-based Multiple Instance Learning,Digital Histopathology of Breast Cancer,49
3717,Resultant-based Elimination in Ore Algebra,Algebraic Geometry of Polynomial Systems,83
136795,Affine Invariance in Continuous-Domain Convolutional Neural Networks,Equivariant Deep Learning with Symmetries,139
259222,Full-Duplex Backscatter Interference Networks Based on Time-Hopping Spread Spectrum,Energy Harvesting Secure Communications,39
235271,Privacy-Preserving by Design: Indoor Positioning System Using Wi-Fi Passive TDOA,Indoor Positioning Systems and Localization Techniques,161
117955,Less is More: Data Pruning for Faster Adversarial Training,Adversarial Machine Learning Robustness,6
218755,MOSS: Multi-Objective Optimization for Stable Rule Sets,Neural Network Optimization and Analysis,11
247311,Adaptive Second-order Sliding Mode Control of UAVs for Civil Applications,Stability and Control of Nonlinear Systems,26
82019,Polygonal approximation of digital planar curve using novel significant measure,Geometry of Convex Shapes and Polygons,430
294711,Projection based semi--implicit partitioned Reduced Basis Method for non parametrized and parametrized Fluid--Structure Interaction problems,Model Order Reduction Techniques,79
222129,Investigation of Gaze Patterns in Multi View Laparoscopic Surgery,Gaze and Eye Tracking,226
190227,Task Addition in Multi-Task Learning by Geometrical Alignment,Multitask Deep Learning Models,246
283925,Minimal Forbidden Factors of Circular Words,Suffix Structures and String Matching,100
155157,Layered Coding for Energy Harvesting Communication Without CSIT,Energy Harvesting Secure Communications,39
132623,Fair Clustering Under a Bounded Cost,Clustering and Coreset Methods,72
125833,ACTION: Augmentation and Computation Toolbox for Brain Network Analysis with Functional MRI,Functional Connectivity in Autism Brain Networks,182
234000,The Topology-Free Construction of the Universal Type Structure for Conditional Probability Systems,Categorical Logic and Homotopy Type Theory,27
187283,Global performance metrics for synchronization of heterogeneously rated power systems: The role of machine models and inertia,Networked Multiagent Synchronization Control,103
141709,On the structure of the Schur complement matrix for the Stokes equation,Numerical Methods for Eigenvalue Problems,286
141423,Robust Risk-Sensitive Reinforcement Learning Agents for Trading Markets,Game Theory and Nash Equilibria,15
93206,Gini in a Bottleneck: Sparse Molecular Representations for Graph Convolutional Neural Networks,Molecular Property Prediction for Drug Design,159
220022,Optically Sensorized Electro-Ribbon Actuator (OS-ERA),Soft Robotic Gripping and Actuation,296
108493,Direct and indirect reinforcement learning,Reinforcement Learning Theory and Algorithms,35
276225,Emerging Methods of Auction Design in Social Networks,Auction Economics and Welfare,95
216466,On the Sample Complexity of Causal Discovery and the Value of Domain Expertise,Causal Discovery and Structure Learning,99
220872,New Results on the DMC Capacity and Renyi's Divergence,Entropy Measures and Information Theory,145
245616,SUPER-Rec: SUrrounding Position-Enhanced Representation for Recommendation,Recommender Systems and Collaborative Filtering,167
196150,Color Image and Multispectral Image Denoising Using Block Diagonal Representation,Image Restoration and Denoising Techniques,96
105443,MT3S: Mobile Turkish Scene Text-to-Speech System for the Visually Impaired,Immersive Technologies for Visual Impairment,32
104454,Clustering of Driving Encounter Scenarios Using Connected Vehicle Trajectories,Connected Vehicle Platooning in Mixed Traffic,149
121867,Adversarial Examples Detection in Deep Networks with Convolutional Filter Statistics,Adversarial Machine Learning Robustness,6
16092,Conservative Bandits,Contextual Bandit Methods,54
281012,Face Recognition Machine Vision System Using Eigenfaces,Biometric Authentication and Anti-Spoofing,21
250687,"Scalable, quantum-accessible, and adaptive pseudorandom quantum state and pseudorandom function-like quantum state generators",Quantum Cryptography and Key Distribution,44
292377,DensePure: Understanding Diffusion Models towards Adversarial Robustness,Adversarial Machine Learning Robustness,6
153478,Client Selection and Bandwidth Allocation for Federated Learning: An Online Optimization Perspective,Non-IID Federated Learning Systems,19
293247,Towards a New Extracting and Querying Approach of Fuzzy Summaries,Text Summarization Techniques,68
30870,Incremental Learning Techniques for Semantic Segmentation,Continual and Incremental Learning,42
79170,Intensity Scan Context: Coding Intensity and Geometry Relations for Loop Closure Detection,Visual-Inertial Localization and Mapping,200
226845,Toward World Models for Epidemiology,COVID-19 Epidemiology and Public Health Response,107
136,2-Dimensional Finite Impulse Response Graph-Temporal Filters,Graph Signal Clustering and Spectral Methods,124
84888,Query-Driven Knowledge Base Completion using Multimodal Path Fusion over Multimodal Knowledge Graph,Knowledge Graph Completion and Alignment,50
210954,Preprocessing Methods for Memristive Reservoir Computing for Image Recognition,Reservoir Computing and Networks,232
169141,Implementation of an Android Framework for USB storage access without root rights,Android Malware Detection and Classification,125
1999,Saliency Guided Experience Packing for Replay in Continual Learning,Continual and Incremental Learning,42
12325,An efficient explicit full-discrete scheme for strong approximation of stochastic Allen-Cahn equation,Numerical Analysis of Stochastic Equations,280
95445,Single-Stage Heavy-Tailed Food Classification,Food Image Analysis in Dietary Assessment,342
181228,T-Crowd: Effective Crowdsourcing for Tabular Data,Crowdsourcing Workers and Prediction,111
188333,Color image restoration with impulse noise based on fractional-order total variation and framelet,Image Restoration and Denoising Techniques,96
167695,Breaking universal limitations on quantum conference key agreement without quantum memory,Quantum Cryptography and Key Distribution,44
96129,Optimizing Adaptive Video Streaming with Human Feedback,Adaptive Video Streaming Quality and Experience,245
177404,Coefficient Mutation in the Gene-pool Optimal Mixing Evolutionary Algorithm for Symbolic Regression,Symbolic Regression via Genetic Programming,307
216142,On the influence of Dice loss function in multi-class organ segmentation of abdominal CT using 3D fully convolutional networks,Abdominal Organ Detection and Segmentation,117
156631,On the c-differential uniformity of certain maps over finite fields,Differential Uniformity of Boolean Functions,418
83154,Wasserstein Distributionally Robust Regret Optimization for Reinforcement Learning from Human Feedback,Human Preference Alignment,263
22528,Temporal Convolutional Networks: A Unified Approach to Action Segmentation,Video Action Detection,69
281044,Convex Relaxations of Chance Constrained AC Optimal Power Flow,Grid Integration of Renewable Energy Storage,1
236554,Hypergraph Cuts with Edge-Dependent Vertex Weights,Hypergraph Partitioning and Clustering,472
5349,Zorro: A Model Agnostic System to Price Consumer Data,Web Privacy and Fingerprinting Techniques,199
103746,Accelerating the Genetic Algorithm for Large-scale Traveling Salesman Problems by Cooperative Coevolutionary Pointer Network with Reinforcement Learning,Traveling Salesperson Problem,426
32567,Generative Memory for Lifelong Reinforcement Learning,Continual and Incremental Learning,42
173426,SelfCoLearn: Self-supervised collaborative learning for accelerating dynamic MR imaging,Medical Imaging Reconstruction Techniques,41
234655,Tracking e-cigarette warning label compliance on Instagram with deep learning,Social Media Misinformation and Political News,2
156025,ReadBench: Measuring the Dense Text Visual Reading Ability of Vision-Language Models,Multimodal Vision-Language Understanding,12
32371,Do language models have coherent mental models of everyday things?,Commonsense Knowledge and Reasoning,459
200660,Hierarchical stability of nonlinear hybrid systems,Stability and Control of Nonlinear Systems,26
6181,A Gated Residual Kolmogorov-Arnold Networks for Mixtures of Experts,Mixture of Experts Architectures,168
118197,Transforming Competition into Collaboration: The Revolutionary Role of Multi-Agent Systems and Language Models in Modern Organizations,Agentic Multiagent Systems,425
176392,Glushkov's construction for functional subsequential transducers,Theory of Automata and Formal Languages,53
162815,Impact of Mobility-on-Demand on Traffic Congestion: Simulation-based Study,On-Demand Transit and Mobility,94
261499,Adam Induces Implicit Weight Sparsity in Rectifier Neural Networks,Network Pruning and Compression Techniques,56
285033,Revisiting Point Cloud Completion: Are We Ready For The Real-World?,3D Point Cloud Processing and Analysis,66
299592,Generalized Multi-cluster Game under Partial-decision Information with Applications to Management of Energy Internet,Game Theory and Nash Equilibria,15
204565,Branching Strategy Selection Approach Based on Vivification Ratio,Computational Satisfiability and Logic,89
147711,Localization Algorithm with Circular Representation in 2D and its Similarity to Mammalian Brains,Visual-Inertial Localization and Mapping,200
37754,Towards Understanding the Generalization of Graph Neural Networks,Graph Neural Networks for Node Analysis,4
72155,Adaptive additive classification-based loss for deep metric learning,Metric Learning and Transfer Strategies,334
50596,Working Locally Thinking Globally: Theoretical Guarantees for Convolutional Sparse Coding,Sparse Dictionary Learning and Representation,308
223983,Adaptive Noise Covariance Estimation under Colored Noise using Dynamic Expectation Maximization,State Estimation and Filtering Methods,229
266284,A real-time dynamic obstacle tracking and mapping system for UAV navigation and collision avoidance with an RGB-D camera,3D Perception from Sensor Fusion,75
181819,Weakly-Supervised Learning of Metric Aggregations for Deformable Image Registration,Deformable Registration for Dental Imaging,112
150140,QRKE: Resistance to Attacks using the Inverse of the Cosine Representation of Chebyshev Polynomials,Quantum Cryptography and Key Distribution,44
157428,The Accuracy vs. Sampling Overhead Trade-off in Quantum Error Mitigation Using Monte Carlo-Based Channel Inversion,Quantum Computing Circuits,8
76916,A Diffusion-Model of Joint Interactive Navigation,Pedestrian and Vehicle Trajectory Forecasting,93
178480,A HEART for the environment: Transformer-Based Spatiotemporal Modeling for Air Quality Prediction,Environmental Quality Monitoring and Forecasting,411
296319,Stance Prediction and Analysis of Twitter data : A case study of Ghana 2020 Presidential Elections,Social Media Misinformation and Political News,2
125184,Applying the Transformer to Character-level Transduction,Transformer Attention Mechanisms and Models,128
225761,Pan-infection Foundation Framework Enables Multiple Pathogen Prediction,Knowledge Distillation Techniques,67
271529,Runtime Safety Assurance of Autonomous Vehicles used for Last-mile Delivery in Urban Environments,Scenario Testing for Autonomous Vehicles,195
141475,Hybrid Precoding for mmWave V2X Doubly-Selective Multiuser MIMO Systems,Massive MIMO Beamforming and Precoding,9
94943,Detection of healthy and diseased crops in drone captured images using Deep Learning,Crop Plant Pathology and Agriculture,97
283139,HYPA: Efficient Detection of Path Anomalies in Time Series Data on Networks,Anomaly Detection for Predictive Faults,23
98043,Maximal Relevance and Optimal Learning Machines,Boltzmann Machines and Ising Models,352
169827,"TriDF: Evaluating Perception, Detection, and Hallucination for Interpretable DeepFake Detection",Image and Face Forgery Detection,70
116582,A Dictionary-based approach to Time Series Ordinal Classification,Time Series Forecasting and Classification,80
132344,Coherency and Online Signal Selection Based Wide Area Control of Wind Integrated Power Grid,Grid Integration of Renewable Energy Storage,1
11703,Laplacian Regularized Few-Shot Learning,Fewshot Meta-Learning Approaches,129
70043,WikiTableT: A Large-Scale Data-to-Text Dataset for Generating Wikipedia Article Sections,Web Archive and Wikipedia Data,151
261190,Multi-Scale Node Embeddings for Graph Modeling and Generation,Graph Neural Networks for Node Analysis,4
104684,AgenticSum: An Agentic Inference-Time Framework for Faithful Clinical Text Summarization,Instruction Tuning for LLMs,265
130908,BaseTransformers: Attention over base data-points for One Shot Learning,Fewshot Meta-Learning Approaches,129
256731,"Image Based Identification of Ghanaian Timbers Using the XyloTron: Opportunities, Risks and Challenges",Crop Plant Pathology and Agriculture,97
135091,The Min-Max Complexity of Distributed Stochastic Convex Optimization with Intermittent Communication,Distributed Deep Learning Optimization,146
90415,VINS-Mono: A Robust and Versatile Monocular Visual-Inertial State Estimator,Visual-Inertial Localization and Mapping,200
126725,Towards Privacy-assured and Lightweight On-chain Auditing of Decentralized Storage,Blockchain and Smart Contract Transactions,3
167517,Sensor Fault Detection and Isolation in Autonomous Nonlinear Systems Using Neural Network-Based Observers,Anomaly Detection for Predictive Faults,23
272837,Robust Learning from Observation with Model Misspecification,Imitation Learning from Expert Demonstrations,378
80928,ICE: An Interactive Configuration Explorer for High Dimensional Categorical Parameter Spaces,Data Visualization and Analytics,101
104418,Path-Guided Flow Matching for Dataset Distillation,Knowledge Distillation Techniques,67
79018,Towards Low-Latency Energy-Efficient Deep SNNs via Attention-Guided Compression,Spiking Neural Networks and Plasticity,132
238051,Solving NMF with smoothness and sparsity constraints using PALM,Nonnegative Matrix Factorization and Extensions,473
50069,Dynamic semantic VSLAM with known and unknown objects,Visual-Inertial Localization and Mapping,200
177846,Modeling Sequential Recommendation as Missing Information Imputation,Recommender Systems and Collaborative Filtering,167
260780,Time-constrained Adaptive Influence Maximization,Social Influence Maximization,258
48076,"Efficient Reassembling of Graphs, Part 2: The Balanced Case",Domination and Coloring on Graphs,7
91451,C-planarity of Embedded Cyclic c-Graphs,Planar Graph Theory and Drawings,176
282962,oboro: Text-to-Image Synthesis on Limited Data using Flow-based Diffusion Transformer with MMH Attention,Text-Guided Image Synthesis and Editing,76
267580,GTAGCN: Generalized Topology Adaptive Graph Convolutional Networks,Graph Neural Networks for Node Analysis,4
222256,Proactive Hardening of LLM Defenses with HASTE,Prompt Injection and Safety Alignment,150
59042,Robotic Knee Tracking Control to Mimic the Intact Human Knee Profile Based on Actor-critic Reinforcement Learning,Reinforcement Learning Theory and Algorithms,35
158476,Joint Pushing and Caching for Bandwidth Utilization Maximization in Wireless Networks,Edge Caching for Content Delivery,231
217473,Continual Learning in Deep Neural Network by Using a Kalman Optimiser,Continual and Incremental Learning,42
16711,Data Dropout: Optimizing Training Data for Convolutional Neural Networks,Neural Network Optimization and Analysis,11
252242,Chance-Constrained ADMM Approach for Decentralized Control of Distributed Energy Resources,Grid Integration of Renewable Energy Storage,1
98203,Asymptotic bounds for the sizes of constant dimension codes and an improved lower bound,Selfdual Cyclic Codes and LCD Theory,34
262057,Unified Control Framework for Real-Time Interception and Obstacle Avoidance of Fast-Moving Objects with Diffusion Variational Autoencoder,Generative Diffusion and Flow Models,55
150215,On the Zero-Shot Generalization of Machine-Generated Text Detectors,AI Text Detection and Attribution,449
116359,Robust Submodular Minimization with Applications to Cooperative Modeling,Submodular Optimization and Matroids,186
254376,Continuous ErrP detections during multimodal human-robot interaction,EEG-based Brain-Computer Interfaces for Sleep and Seizure Detection,37
10392,Leveraging Large Language Models for Zero-shot Lay Summarisation in Biomedicine and Beyond,Text Summarization Techniques,68
149649,TouchSignatures: Identification of User Touch Actions and PINs Based on Mobile Sensor Data via JavaScript,Authentication and Password Security,144
298960,Reconfiguring Hybrid Systems Using SAT,Computational Satisfiability and Logic,89
246316,Cactus Mechanisms: Optimal Differential Privacy Mechanisms in the Large-Composition Regime,Differential Privacy and Protection,17
72029,Dual Latent Variable Model for Low-Resource Natural Language Generation in Dialogue Systems,Task-Oriented Dialogue Systems,51
293490,NudgeSeg: Zero-Shot Object Segmentation by Repeated Physical Interaction,Weakly Supervised Semantic Segmentation,225
60485,Convergence analysis for gradient flows in the training of artificial neural networks with ReLU activation,Neural Network Optimization and Analysis,11
218213,Evaluation of Community Detection Methods,Community Detection in Complex Networks,33
291487,StreamChat: Chatting with Streaming Video,Multimodal Vision-Language Understanding,12
71947,An Agent-Based Simulation Model for Optimization of the Signalized Intersection Connected to Freeway On-Ramp,Urban Mobility and Smartphone Data,189
189623,CAT: A CTC-CRF based ASR Toolkit Bridging the Hybrid and the End-to-end Approaches towards Data Efficiency and Low Latency,Automatic Speech Recognition Systems,14
36957,"An Innovative, Open, Interoperable Citizen Engagement Cloud Platform for Smart Government and Users' Interaction",AI Ethics and Governance Frameworks,29
103505,Bilevel Joint Unsupervised and Supervised Training for Automatic Speech Recognition,Automatic Speech Recognition Systems,14
175750,Low-Rank Tensor Decomposition-Aided Channel Estimation for Millimeter Wave MIMO-OFDM Systems,Massive MIMO Beamforming and Precoding,9
237986,Non-Parallel Voice Conversion for ASR Augmentation,Automatic Speech Recognition Systems,14
95243,Projective Skip-Connections for Segmentation Along a Subset of Dimensions in Retinal OCT,Retinal Imaging for Ocular Diseases,102
258842,PSTNet: Enhanced Polyp Segmentation with Multi-scale Alignment and Frequency Domain Integration,Colorectal Polyp Detection and Segmentation,328
233816,Dynamic Multi-Domain Knowledge Networks for Chest X-ray Radiology Report Generation,Chest X-ray Radiology Report Generation,153
75000,Survey of Big Data sizes in 2021,Data Visualization and Analytics,101
172061,Tree-based Text-Vision BERT for Video Search in Baidu Video Advertising,Crossmodal and Imagetext Retrieval,367
264078,CODE-MVP: Learning to Represent Source Code from Multiple Views with Contrastive Pre-Training,Software Engineering and Agile Methodologies,71
91338,AesFA: An Aesthetic Feature-Aware Arbitrary Neural Style Transfer,Aesthetic Makeup Transfer using GANs,188
90160,Architecture Considerations for ISAC in 6G,Integrated Sensing and Communication Systems,361
12417,On The Fundamental Energy Tradeoffs of Geographical Load Balancing,Sustainable Cloud and Data Center Virtualization,373
122823,KenSwQuAD -- A Question Answering Dataset for Swahili Low Resource Language,Question Answering from Reading Passages,48
207722,Depthwise Separable Convolutions Allow for Fast and Memory-Efficient Spectral Normalization,Quantization for Deep Neural Networks,105
135638,Adversarial Network Traffic: Towards Evaluating the Robustness of Deep Learning-Based Network Traffic Classification,IoT Intrusion Detection and DDoS Attacks,31
229792,An Upper Bound on the Reliability Function of the DMC,Entropy Measures and Information Theory,145
123690,Biological Valuation Map of Flanders: A Sentinel-2 Imagery Analysis,Hyperspectral Image Analysis and Processing,109
281473,Learned Inertial Odometry for Autonomous Drone Racing,Swarm Motion Planning for Quadrotors,5
257272,First Analysis of Local GD on Heterogeneous Data,Distributed Deep Learning Optimization,146
50310,Reusing Comparator Networks in Pseudo-Boolean Encodings,Computational Satisfiability and Logic,89
45553,Training-free Ultra Small Model for Universal Sparse Reconstruction in Compressed Sensing,Compressed Sensing and Sparse Signal Recovery,127
294277,Development and Whole-Body Validation of Personalizable Female and Male Pedestrian SAFER Human Body Models,Pedestrian and Vehicle Trajectory Forecasting,93
291440,Understanding Reward Ambiguity Through Optimal Transport Theory in Inverse Reinforcement Learning,Optimal Transport Theory and Algorithms,206
245243,Detecting Reading-Induced Confusion Using EEG and Eye Tracking,EEG-based Brain-Computer Interfaces for Sleep and Seizure Detection,37
280930,DepthART: Monocular Depth Estimation as Autoregressive Refinement Task,Depth Estimation and Recovery Techniques,61
31940,On the Complexity of the Quantified Bit-Vector Arithmetic with Binary Encoding,Computational Satisfiability and Logic,89
81557,Advancing The Rate-Distortion-Computation Frontier For Neural Image Compression,Image and Video Compression Techniques,85
1023,On the location of chromatic zeros of series-parallel graphs,Domination and Coloring on Graphs,7
202599,UA-Radar: Exploring the Impact of User Agents on the Web,Web Privacy and Fingerprinting Techniques,199
1491,Simpler constant factor approximation algorithms for weighted flow time -- now for any $p$-norm,Scheduling on Unrelated Machines,155
231767,Learning-Based Client Selection for Federated Learning Services Over Wireless Networks with Constrained Monetary Budgets,Non-IID Federated Learning Systems,19
1412,SiDiTeR: Similarity Discovering Techniques for Robotic Process Automation,Conversational AI and Process Automation,375
230195,On the Minimum Chordal Completion Polytope,Domination and Coloring on Graphs,7
39358,PointGAC: Geometric-Aware Codebook for Masked Point Cloud Modeling,3D Point Cloud Processing and Analysis,66
295737,Self-triggered Stabilization of Contracting Systems under Quantization,Stability and Control of Nonlinear Systems,26
12297,Robust computation with rhythmic spike patterns,Spiking Neural Networks and Plasticity,132
280428,DART: Differentiable Dynamic Adaptive Region Tokenizer for Vision Foundation Models,Vision Transformers and Self-Attention,92
27202,Reinforcement Learning for POMDP: Partitioned Rollout and Policy Iteration with Application to Autonomous Sequential Repair Problems,Offline Reinforcement Learning Methods,63
38,Thermo-LIO: A Novel Multi-Sensor Integrated System for Structural Health Monitoring,Digital Twin Technology and Applications,271
16720,The Algebraic Cost of a Boolean Sum,Algebraic Complexity of Permutations,255
194599,GPSAF: A Generalized Probabilistic Surrogate-Assisted Framework for Constrained Single- and Multi-objective Optimization,Multiobjective Bayesian Evolutionary Optimization,10
186037,Analysis of preintegration followed by quasi-Monte Carlo integration for distribution functions and densities,Bayesian Inference Methods,47
162546,3D Visual Illusion Depth Estimation,Depth Estimation and Recovery Techniques,61
263239,KingsGuard: Enclave Data Protection Under Real-World TEE Vulnerabilities,Trusted Execution Environments and Side-Channel Security,81
106106,General distribution of consumers in pure Hotelling games,Game Theory and Nash Equilibria,15
169647,Temporal Information Processing on Noisy Quantum Computers,Reservoir Computing and Networks,232
208872,Robust EMRAN-aided Coupled Controller for Autonomous Vehicles,Model Predictive Control Schemes,160
220255,Operator and Manufacturer Independent D2D Private Link for Future 5G Networks,D2D Communication in Cellular Networks,480
171579,Hyperspectral Unmixing Based on Clustered Multitask Networks,Hyperspectral Image Analysis and Processing,109
252317,Analyzing Societal Impact of COVID-19: A Study During the Early Days of the Pandemic,COVID-19 Epidemiology and Public Health Response,107
177557,Efficient Cryptographic Substitution Box Design Using Travelling Salesman Problem and Chaos,Quantum Cryptography and Key Distribution,44
231139,Assigning Multi-Robot Tasks to Multitasking Robots,Multiagent Conflict-Based Pathfinding,391
262479,Vessel Network Topology in Molecular Communication: Insights from Experiments and Theory,Molecular Communication Systems,306
122863,Deep Reinforcement Learning for High Precision Assembly Tasks,Robotic Grasping and Dexterity,190
270889,Enabling Distributed Optimization in Large-Scale Power Systems,Grid Integration of Renewable Energy Storage,1
299110,ATOM: Asynchronous Training of Massive Models for Deep Learning in a Decentralized Environment,Distributed Deep Learning Optimization,146
223572,Feature Extraction of Text for Deep Learning Algorithms: Application on Fake News Detection,Social Media Misinformation and Political News,2
296788,Ads in Conversations,Conversational AI and Process Automation,375
61443,On the Tradeoff Region of Secure Exact-Repair Regenerating Codes,Locally Repairable Coding Theory,173
96650,"Regret, Delete, (Do Not) Repeat: An Analysis of Self-Cleaning Practices on Twitter After the Outbreak of the COVID-19 Pandemic",COVID-19 Epidemiology and Public Health Response,107
6089,ADMM-Based One-Bit Quantized Signal Detection for Massive MIMO Systems with Hardware Impairments,Massive MIMO Beamforming and Precoding,9
145536,Deep Reinforcement Learning for Personalized Diagnostic Decision Pathways Using Electronic Health Records: A Comparative Study on Anemia and Systemic Lupus Erythematosus,Electronic Health Records for Sepsis and Diabetes,38
226264,NOVAS: Non-convex Optimization via Adaptive Stochastic Search for End-to-End Learning and Control,Optimization Algorithms for Machine Learning,13
23768,Group Distributionally Robust Optimization with Flexible Sample Queries,Distributionally Robust Optimization and Learning,469
266218,Parameters of two classes of LCD BCH codes,Selfdual Cyclic Codes and LCD Theory,34
45279,Oriented Boxes for Accurate Instance Segmentation,Instance Segmentation and Mask R-CNN,489
234238,NF4 Isn't Information Theoretically Optimal (and that's Good),Quantization for Large Language Models,423
168583,Identifying Operational Data-paths in Software Defined Networking Driven Data-planes,Software-Defined Networking Architectures,295
194864,Centrality and Consistency: Two-Stage Clean Samples Identification for Learning with Instance-Dependent Noisy Labels,Noisy Label Learning Methods,178
210254,Infomax strategies for an optimal balance between exploration and exploitation,Contextual Bandit Methods,54
15652,Enhancing Sliding Performance with Aerial Robots: Analysis and Solutions for Non-Actuated Multi-Wheel Configurations,Swarm Motion Planning for Quadrotors,5
119094,Certifying Fairness of Probabilistic Circuits,Algorithmic Fairness and Bias Detection,36
288805,Nonlinear Predictor Feedback for Input-Affine Systems with Distributed Input Delays,Stability and Control of Nonlinear Systems,26
101472,Self-balanced Learning For Domain Generalization,Domain Adaptation and Generalization,24
168599,Manifold-Orthogonal Dual-spectrum Extrapolation for Parameterized Physics-Informed Neural Networks,Physics-Informed Neural Networks,135
212331,"COOLL: Controlled On/Off Loads Library, a Public Dataset of High-Sampled Electrical Signals for Appliance Identification",Electricity Load Forecasting,437
18694,Concurrent Regenerating Codes and Scalable Application in Network Storage,Locally Repairable Coding Theory,173
106020,Recent Advances in Adversarial Training for Adversarial Robustness,Adversarial Machine Learning Robustness,6
35222,Memory-Efficient CNN Accelerator Based on Interlayer Feature Map Compression,FPGA Hardware Accelerators for DNNs,119
248803,PikeLPN: Mitigating Overlooked Inefficiencies of Low-Precision Neural Networks,Quantization for Deep Neural Networks,105
233429,MetaSecure: A Passwordless Authentication for the Metaverse,Biometric Authentication and Anti-Spoofing,21
31464,Automatic Detection of Arousals during Sleep using Multiple Physiological Signals,EEG-based Brain-Computer Interfaces for Sleep and Seizure Detection,37
111073,The Loss Surface of Residual Networks: Ensembles and the Role of Batch Normalization,Residual Networks for Image Classification,278
165061,Enabling Accuracy-Aware Quantum Compilers using Symbolic Resource Estimation,Quantum Computing Circuits,8
33223,Provable tradeoffs in adversarially robust classification,Adversarial Machine Learning Robustness,6
69376,"QFlowNet: Fast, Diverse, and Efficient Unitary Synthesis with Generative Flow Networks",Quantum Computing Circuits,8
128760,Emulating Complex Synapses Using Interlinked Proton Conductors,Memristors for Neuromorphic Computing,214
205875,Embedding Delay-Constrained VNF Forwarding Graphs into Reconfigurable WDM Optical Networks -- Extended Version,Virtual Network Function Virtualization,302
33295,Socio-Linguistic Characteristics of Coordinated Inauthentic Accounts,Social Media Misinformation and Political News,2
12843,Enriching Large-Scale Eventuality Knowledge Graph with Entailment Relations,Knowledge Graph Completion and Alignment,50
292095,Self-ICL: Zero-Shot In-Context Learning with Self-Generated Demonstrations,In-Context Learning with Demonstrations,335
299941,Soft policy optimization using dual-track advantage estimator,Optimization Algorithms for Machine Learning,13
271596,Hyper Diffusion Avatars: Dynamic Human Avatar Generation using Network Weight Space Diffusion,Human Avatar Modeling and Animation,468
125914,"Adaptive Verifiable Coded Computing: Towards Fast, Secure and Private Distributed Machine Learning",Coded Distributed Computing for Stragglers,290
230150,Refactoring Graphs: Assessing Refactoring over Time,Software Engineering and Agile Methodologies,71
247389,Implicit Pairs for Boosting Unpaired Image-to-Image Translation,Unpaired Image Translation,303
269107,Mittag-Leffler Euler integrator for a stochastic fractional order equation with additive noise,Numerical Analysis of Stochastic Equations,280
268971,Tversky loss function for image segmentation using 3D fully convolutional deep networks,Weakly Supervised Semantic Segmentation,225
53902,NCA-Morph: Medical Image Registration with Neural Cellular Automata,Deformable Registration for Dental Imaging,112
